Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Ahmedabad (AMD),Delhi (DEL),SW 2491,04:45,06:25,Direct,,Daily
Delhi (DEL),Ahmedabad (AMD),SW 5119,04:45,06:25,Direct,,Daily
Bengaluru (BLR),Kolkata (CCU),SW 0227,04:45,07:10,Direct,,Daily
Bengaluru (BLR),Chandigarh (IXC),SW 6633,04:45,07:40,Direct,,Daily
Delhi (DEL),Pune (PNQ),SW 2471,04:45,06:55,Direct,,Daily
Delhi (DEL),Varanasi (VNS),SW 2211,04:45,06:10,Direct,,Daily
Mumbai (BOM),Goa (GOI),SW 0567,04:50,05:55,Direct,,Daily
Delhi (DEL),Guwahati (GAU),SW 2251,04:50,07:05,Direct,,Daily
Delhi (DEL),Imphal (IMF),SW 2251,04:50,08:45,Via,GAU,Daily
Hyderabad (HYD),Jaipur (JAI),SW 0815,04:50,06:50,Direct,,Daily
Pune (PNQ),Ahmedabad (AMD),SW 0819,04:50,06:10,Direct,,Mon Tue Wed Thu Sat Sun
Chennai (MAA),Thiruvananthapuram (TRV),SW 6001,04:50,06:15,Direct,,Mon Tue Wed Thu Sun
Kolkata (CCU),Bengaluru (BLR),SW 6438,04:55,07:40,Direct,,Daily
Bengaluru (BLR),Hyderabad (HYD),SW 6923,04:55,06:15,Direct,,Daily
Hyderabad (HYD),Delhi (DEL),SW 2021,04:55,07:15,Direct,,Daily
Sharjah (SHJ),Hyderabad (HYD),SW 1422,04:55,09:50,Direct,,Daily
Chennai (MAA),Pune (PNQ),SW 0236,04:55,06:40,Direct,,Mon Tue Wed Thu Fri Sun
Delhi (DEL),Bhubaneshwar (BBI),SW 2064,05:00,07:10,Direct,,Daily
Bengaluru (BLR),Mumbai (BOM),SW 5114,05:00,06:50,Direct,,Daily
Bengaluru (BLR),Chennai (MAA),SW 0575,05:00,06:00,Direct,,Daily
Mumbai (BOM),Delhi (DEL),SW 0656,05:00,07:10,Direct,,Daily
Delhi (DEL),Mumbai (BOM),SW 0449,05:00,07:20,Direct,,Daily
Dubai (DXB),Mumbai (BOM),SW 1512,05:00,09:35,Direct,,Daily
Hyderabad (HYD),Mumbai (BOM),SW 5245,05:00,06:45,Direct,,Daily
Mumbai (BOM),Jaipur (JAI),SW 5052,05:00,06:45,Direct,,Daily
Jaipur (JAI),Hyderabad (HYD),SW 0752,05:00,06:55,Direct,,Daily
Jaipur (JAI),Kochi (COK),SW 0752,05:00,09:10,Via,HYD,Daily
Delhi (DEL),Indore (IDR),SW 6212,05:00,06:30,Direct,,Daily
Pune (PNQ),Indore (IDR),SW 0284,05:00,06:10,Direct,,Daily
Ahmedabad (AMD),Goa (GOI),SW 6418,05:00,06:35,Direct,,Mon Tue Wed Thu Fri Sun
Pune (PNQ),Delhi (DEL),SW 2419,05:05,07:15,Direct,,Daily
Hyderabad (HYD),Bengaluru (BLR),SW 0887,05:10,06:20,Direct,,Daily
Bengaluru (BLR),Nagpur (NAG),SW 6802,05:10,06:55,Direct,,Daily
Mumbai (BOM),Aurangabad (IXU),SW 5202,05:10,06:20,Direct,,Daily
Jeddah (JED),Mumbai (BOM),SW 0092,05:10,12:40,Direct,,Mon Sat Sun
Singapore (SIN),Bhubaneshwar (BBI),SW 1018,05:10,06:45,Direct,,Wed Sun
Dubai (DXB),Ahmedabad (AMD),SW 1478,05:15,09:20,Direct,,Daily
Bengaluru (BLR),Pune (PNQ),SW 0408,05:15,06:45,Direct,,Daily
Kolkata (CCU),Chennai (MAA),SW 0344,05:15,07:40,Direct,,Mon Tue Wed Fri Sat Sun
Mumbai (BOM),Vadodara (BDQ),SW 0527,05:20,06:25,Direct,,Daily
Mumbai (BOM),Lucknow (LKO),SW 2225,05:20,07:25,Direct,,Daily
Delhi (DEL),Coimbatore (CJB),SW 2275,05:20,08:15,Direct,,Daily
Hyderabad (HYD),Indore (IDR),SW 0377,05:20,06:55,Direct,,Daily
Delhi (DEL),Hong Kong(HKG),SW 1707,05:20,13:10,Direct,,Mon Wed Fri Sat Sun
Bengaluru (BLR),Patna (PAT),SW 6243,05:20,07:50,Direct,,Tue Sat Sun
Kochi (COK),Bengaluru (BLR),SW 0702,05:25,06:30,Direct,,Daily
Kochi (COK),Bhubaneshwar (BBI),SW 0702,05:25,09:40,Via,BLR,Daily
Kolkata (CCU),Hyderabad (HYD),SW 6623,05:25,07:40,Direct,,Daily
Pune (PNQ),Chennai (MAA),SW 0159,05:25,07:05,Direct,,Daily
Delhi (DEL),Madurai (IXM),SW 2059,05:25,08:30,Direct,,Mon Tue Wed Thu Sun
Jaipur (JAI),Bhopal (BHO),SW 7742,05:25,07:05,Direct,,Mon Wed Fri Sun
Singapore (SIN),Bengaluru (BLR),SW 1006,05:30,07:40,Direct,,Daily
Kolkata (CCU),Delhi (DEL),SW 2787,05:30,08:00,Direct,,Daily
Delhi (DEL),Kolkata (CCU),SW 2014,05:30,07:35,Direct,,Daily
Kolkata (CCU),Patna (PAT),SW 7085,05:30,07:10,Direct,,Daily
Chennai (MAA),Hyderabad (HYD),SW 6897,05:30,06:55,Direct,,Daily
Jaipur (JAI),Lucknow (LKO),SW 7319,05:30,07:05,Direct,,Daily
Pune (PNQ),Nagpur (NAG),SW 2447,05:30,06:50,Direct,,Daily
Hyderabad (HYD),Patna (PAT),SW 6467,05:30,07:25,Direct,,Mon Tue Wed Sat Sun
Bengaluru (BLR),Visakhapatnam (VTZ),SW 0217,05:35,07:10,Direct,,Daily
