Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Chennai (MAA),Bengaluru (BLR),SW 6815,08:40,09:40,Direct,,Tue Thu Sat
Chennai (MAA),Kanpur (KNU),SW 6815,08:40,12:50,Via,BLR,Every Tue Thu Sat
Srinagar (SXR),Delhi (DEL),SW 2221,08:55,10:30,Direct,,Tue Thu
Kochi (COK),Bengaluru (BLR),SW 6482,08:55,10:00,Direct,,Tue Thu Fri Sat Sun
Guwahati (GAU),Hyderabad (HYD),SW 6881,09:00,11:55,Direct,,Tue
Bhubaneshwar (BBI),Prayagraj (IXD),SW 7265,09:00,11:00,Direct,,Tue Thu Sat
Delhi (DEL),Kolkata (CCU),SW 2104,09:00,10:55,Direct,,Tue Wed
Bengaluru (BLR),Kochi (COK),SW 0113,09:00,10:10,Direct,,Tue Wed Thu Sat
Hubli (HBX),Delhi (DEL),SW 2512,09:15,11:50,Direct,,Tue Thu Sat
Chennai (MAA),Surat (STV),SW 0991,09:15,11:25,Direct,,Tue Thu Sun
Ahmedabad (AMD),Bengaluru (BLR),SW 0823,09:35,11:45,Direct,,Tue
Kolkata (CCU),Amritsar (ATQ),SW 0201,09:35,12:25,Direct,,Tue Thu Sat
Bengaluru (BLR),Aurangabad (IXU),SW 0516,09:35,11:15,Direct,,Tue Thu Sat
Bengaluru (BLR),Kurnool (KJB),SW 7176,09:35,10:55,Direct,,Tue Thu Sat
Bengaluru (BLR),Agartala (IXA),SW 0524,09:45,12:35,Direct,,Tue Thu Sat
Bengaluru (BLR),Dibrugarh (DIB),SW 0524,09:45,14:20,Via,IXA,Every Tue Thu Sat
Nagpur (NAG),Aurangabad (IXU),SW 7462,09:45,11:05,Direct,,Tue Thu Sat
Nagpur (NAG),Goa (GOI),SW 7462,09:45,13:40,Via,IXU,Every Tue Thu Sat
Kochi (COK),Male (MLE),SW 1133,09:50,10:50,Direct,,Tue
Bhubaneshwar (BBI),Bengaluru (BLR),SW 0703,10:10,12:20,Direct,,Tue
Mumbai (BOM),Bengaluru (BLR),SW 5076,10:15,12:00,Direct,,Tue
Leh (IXL),Chandigarh (IXC),SW 0291,10:15,11:15,Direct,,Tue Thu Sat
Bengaluru (BLR),Kanpur (KNU),SW 6815,10:20,12:50,Direct,,Tue Thu Sat
Tirupati (TIR),Vijayawada (VGA),SW 7422,10:20,11:30,Direct,,Tue Thu Sat
Tirupati (TIR),Shirdi (SAG),SW 7422,10:20,14:10,Via,VGA,Every Tue Thu Sat
Tirupati (TIR),Indore (IDR),SW 7422,10:20,15:55,Via,VGA/SAG,Every Tue Thu Sat
Tirupati (TIR),Lucknow (LKO),SW 7422,10:20,19:10,Direct,,Tue Thu Sat
Mumbai (BOM),Jaipur (JAI),SW 0594,10:35,12:25,Direct,,Tue Thu Sat
Hyderabad (HYD),Prayagraj (IXD),SW 6291,10:50,12:45,Direct,,Tue Thu Sat
Bengaluru (BLR),Bareilly (BEK),SW 6533,11:05,14:05,Direct,,Tue Thu Sat
Kurnool (KJB),Visakhapatnam (VTZ),SW 7195,11:15,12:55,Direct,,Tue Thu Sat
Delhi (DEL),Bhopal (BHO),SW 2433,11:20,12:35,Direct,,Tue Thu
Mumbai (BOM),Tiruchirappalli (TRZ),SW 0591,11:20,13:25,Direct,,Tue Thu Sat
Jaipur (JAI),Indore (IDR),SW 7154,11:20,12:50,Direct,,Tue Thu Sat
Shillong (SHL),Kolkata (CCU),SW 7314,11:25,12:55,Direct,,Tue
Bhubaneshwar (BBI),Durgapur (RDP),SW 7504,11:30,13:10,Direct,,Tue Thu Sat
Udaipur (UDR),Bengaluru (BLR),SW 0412,11:35,14:00,Direct,,Tue
Prayagraj (IXD),Bhubaneshwar (BBI),SW 7266,11:35,13:25,Direct,,Tue Thu Sat
Deoghar (DGH),Ranchi (IXR),SW 7965,11:35,12:30,Direct,,Tue Thu Sat
Aurangabad (IXU),Goa (GOI),SW 7462,11:40,13:40,Direct,,Tue Thu Sat
Mumbai (BOM),Agra (AGR),SW 5316,11:45,13:50,Direct,,Tue Thu Sat
Chandigarh (IXC),Leh (IXL),SW 0293,11:45,12:50,Direct,,Tue Thu Sat
Male (MLE),Kochi (COK),SW 1134,11:55,13:45,Direct,,Tue
Vijayawada (VGA),Shirdi (SAG),SW 7422,11:55,14:10,Direct,,Tue Thu Sat
Vijayawada (VGA),Indore (IDR),SW 7422,11:55,15:55,Via,SAG,Every Tue Thu Sat
Vijayawada (VGA),Lucknow (LKO),SW 7422,11:55,19:10,Via,SAG/IDR,Every Tue Thu Sat
Dubai (DXB),Kochi (COK),SW 1476,12:00,17:40,Direct,,Tue
Aurangabad (IXU),Bengaluru (BLR),SW 0517,12:00,13:30,Direct,,Tue Thu Sat
Surat (STV),Pune (PNQ),SW 6192,12:05,13:00,Direct,,Tue Thu Sun
Chennai (MAA),Hyderabad (HYD),SW 6925,12:15,13:30,Direct,,Tue Thu Sat
Chennai (MAA),Jammu (IXJ),SW 6925,12:15,17:10,Via,HYD,Every Tue Thu Sat
Ranchi (IXR),Deoghar (DGH),SW 7964,12:50,13:40,Direct,,Tue Thu Sat
Delhi (DEL),Surat (STV),SW 0315,12:55,15:00,Direct,,Tue
Amritsar (ATQ),Kolkata (CCU),SW 6344,12:55,15:30,Direct,,Tue Thu Sat
Amritsar (ATQ),Guwahati (GAU),SW 6344,12:55,17:30,Via,CCU,Every Tue Thu Sat
Jharsuguda (JRG),Bengaluru (BLR),SW 0128,13:00,15:00,Direct,,Tue
Chennai (MAA),Thiruvananthapuram (TRV),SW 0447,13:00,14:15,Direct,,Tue
Bengaluru (BLR),Mangalore (IXE),SW 6453,13:00,14:00,Direct,,Tue Thu
Hyderabad (HYD),Agra (AGR),SW 0931,13:00,15:00,Direct,,Tue Thu Sat
Kadapa (CDP),Vijayawada (VGA),SW 7278,13:00,14:05,Direct,,Tue Thu Sat
Bhopal (BHO),Delhi (DEL),SW 5083,13:05,14:25,Direct,,Tue Thu
Agartala (IXA),Dibrugarh (DIB),SW 0524,13:05,14:20,Direct,,Tue Thu Sat
Prayagraj (IXD),Hyderabad (HYD),SW 6292,13:15,15:15,Direct,,Tue Thu Sat
Bengaluru (BLR),Kolkata (CCU),SW 0172,13:20,15:55,Direct,,Tue Wed
Tuticorin (TCR),Chennai (MAA),SW 7606,13:25,15:10,Direct,,Tue
Visakhapatnam (VTZ),Kurnool (KJB),SW 7198,13:25,15:10,Direct,,Tue Thu Sat
Kanpur (KNU),Bengaluru (BLR),SW 6012,13:25,15:50,Direct,,Tue Thu Sat
Kanpur (KNU),Chennai (MAA),SW 6012,13:25,17:30,Via,BLR,Every Tue Thu Sat
Durgapur (RDP),Guwahati (GAU),SW 7507,13:30,15:05,Direct,,Tue Thu Sat
Kochi (COK),Kozhikode (CCJ),SW 7006,13:45,14:35,Direct,,Tue
Kochi (COK),Bengaluru (BLR),SW 7006,13:45,16:10,Via,CCJ,Every Tue
Tiruchirappalli (TRZ),Mumbai (BOM),SW 0592,13:55,16:15,Direct,,Tue Thu Sat
Pune (PNQ),Surat (STV),SW 6191,13:55,14:55,Direct,,Tue Thu Sun
Hyderabad (HYD),Rajahmundry (RJA),SW 7311,14:00,15:10,Direct,,Tue
Jaipur (JAI),Mumbai (BOM),SW 0596,14:05,15:50,Direct,,Tue Thu Sat
Goa (GOI),Aurangabad (IXU),SW 7467,14:05,16:05,Direct,,Tue Thu Sat
Goa (GOI),Nagpur (NAG),SW 7467,14:05,18:05,Via,IXU,Every Tue Thu Sat
Goa (GOI),Lucknow (LKO),SW 7467,14:05,20:20,Via,IXU/NAG,Every Tue Thu Sat
Hyderabad (HYD),Jammu (IXJ),SW 6925,14:15,17:10,Direct,,Tue Thu Sat
Hyderabad (HYD),Lucknow (LKO),SW 0487,14:20,16:10,Direct,,Tue
Vijayawada (VGA),Kadapa (CDP),SW 7279,14:25,15:35,Direct,,Tue Thu Sat
Lucknow (LKO),Varanasi (VNS),SW 7741,14:25,15:25,Direct,,Tue Thu Sat
Mangalore (IXE),Bengaluru (BLR),SW 6454,14:35,15:30,Direct,,Tue Thu
Hyderabad (HYD),Shirdi (SAG),SW 6062,14:40,16:00,Direct,,Tue
Shirdi (SAG),Indore (IDR),SW 7422,14:40,15:55,Direct,,Tue Thu Sat
Shirdi (SAG),Lucknow (LKO),SW 7422,14:40,19:10,Via,IDR,Every Tue Thu Sat
Srinagar (SXR),Amritsar (ATQ),SW 0478,14:45,15:45,Direct,,Tue Thu Fri Sat Sun
Srinagar (SXR),Bengaluru (BLR),SW 0478,14:45,19:20,Via,ATQ,Every Tue Thu Fri Sat Sun
Srinagar (SXR),Chennai (MAA),SW 0478,14:45,22:05,Via,ATQ/BLR,Every Tue Thu Fri Sat Sun
Bareilly (BEK),Bengaluru (BLR),SW 6534,14:45,17:35,Direct,,Tue Thu Sat
Thiruvananthapuram (TRV),Chennai (MAA),SW 0571,14:50,16:05,Direct,,Tue
Kozhikode (CCJ),Bengaluru (BLR),SW 7006,14:55,16:10,Direct,,Tue
Bengaluru (BLR),Patna (PAT),SW 6277,14:55,17:20,Direct,,Tue
Agra (AGR),Mumbai (BOM),SW 5338,14:55,17:05,Direct,,Tue Thu Sat
Dibrugarh (DIB),Agartala (IXA),SW 0525,15:00,16:25,Direct,,Tue Thu Sat
Dibrugarh (DIB),Bengaluru (BLR),SW 0525,15:00,19:55,Via,IXA,Every Tue Thu Sat
Bengaluru (BLR),Mangalore (IXE),SW 7425,15:10,16:25,Direct,,Tue Thu Sat
Bengaluru (BLR),Hyderabad (HYD),SW 0181,15:15,16:35,Direct,,Tue
Delhi (DEL),Srinagar (SXR),SW 5084,15:20,17:00,Direct,,Tue Thu
Delhi (DEL),Belgaum (IXG),SW 2647,15:20,17:50,Direct,,Tue Thu Sat
Guwahati (GAU),Durgapur (RDP),SW 7508,15:25,17:05,Direct,,Tue Thu Sat
Bengaluru (BLR),Coimbatore (CJB),SW 0602,15:30,16:30,Direct,,Tue
Kurnool (KJB),Bengaluru (BLR),SW 7106,15:30,16:35,Direct,,Tue Thu Sat
Agra (AGR),Hyderabad (HYD),SW 0932,15:35,17:35,Direct,,Tue Thu Sat
Surat (STV),Chennai (MAA),SW 0995,15:40,17:45,Direct,,Tue Thu Sat Sun
Varanasi (VNS),Lucknow (LKO),SW 7739,15:45,16:25,Direct,,Tue
Surat (STV),Delhi (DEL),SW 2382,16:10,18:05,Direct,,Tue
Indore (IDR),Jaipur (JAI),SW 7109,16:10,17:30,Direct,,Tue Thu Sat
Amritsar (ATQ),Bengaluru (BLR),SW 0478,16:15,19:20,Direct,,Tue Thu Fri Sat Sun
Amritsar (ATQ),Chennai (MAA),SW 0478,16:15,22:05,Via,BLR,Every Tue Thu Fri Sat Sun
Kolkata (CCU),Guwahati (GAU),SW 6344,16:20,17:30,Direct,,Tue Thu Sat
Shirdi (SAG),Hyderabad (HYD),SW 6063,16:30,17:35,Direct,,Tue
Bengaluru (BLR),Chennai (MAA),SW 6012,16:30,17:30,Direct,,Tue Thu Sat
Aurangabad (IXU),Nagpur (NAG),SW 7467,16:35,18:05,Direct,,Tue Thu Sat
Aurangabad (IXU),Lucknow (LKO),SW 7467,16:35,20:20,Via,NAG,Every Tue Thu Sat
Mangalore (IXE),Bengaluru (BLR),SW 7426,16:45,17:55,Direct,,Tue Thu Sat
Agartala (IXA),Bengaluru (BLR),SW 0525,16:55,19:55,Direct,,Tue Thu Sat
Mumbai (BOM),Jeddah (JED),SW 0061,17:05,20:30,Direct,,Tue
Coimbatore (CJB),Bengaluru (BLR),SW 0903,17:10,18:15,Direct,,Tue
Coimbatore (CJB),Lucknow (LKO),SW 0903,17:10,22:00,Via,BLR,Every Tue
Indore (IDR),Lucknow (LKO),SW 7422,17:15,19:10,Direct,,Tue Thu Sat
Hyderabad (HYD),Jeddah (JED),SW 0067,17:20,21:30,Direct,,Tue
Durgapur (RDP),Bhubaneshwar (BBI),SW 7505,17:25,19:05,Direct,,Tue Thu Sat
Bhopal (BHO),Udaipur (UDR),SW 7973,17:25,18:40,Direct,,Tue Thu Sat
Bengaluru (BLR),Hyderabad (HYD),SW 6703,17:40,18:45,Direct,,Tue
Srinagar (SXR),Delhi (DEL),SW 2197,17:40,19:15,Direct,,Tue Thu
Jammu (IXJ),Hyderabad (HYD),SW 6617,17:40,20:35,Direct,,Tue Thu Sat
Jammu (IXJ),Chennai (MAA),SW 6617,17:40,22:45,Via,HYD,Every Tue Thu Sat
Delhi (DEL),Goa (GOI),SW 2279,18:00,20:30,Direct,,Tue Thu Sat
Hyderabad (HYD),Thiruvananthapuram (TRV),SW 0161,18:20,20:05,Direct,,Tue
Bengaluru (BLR),Hubli (HBX),SW 7162,18:25,19:50,Direct,,Tue Thu Sat
Nagpur (NAG),Lucknow (LKO),SW 7467,18:25,20:20,Direct,,Tue Thu Sat
Belgaum (IXG),Delhi (DEL),SW 2648,18:40,21:05,Direct,,Tue Thu Sat
Udaipur (UDR),Bhopal (BHO),SW 7974,19:05,20:15,Direct,,Tue Thu Sat
Bengaluru (BLR),Lucknow (LKO),SW 0903,19:25,22:00,Direct,,Tue
Hyderabad (HYD),Kochi (COK),SW 0169,19:55,21:30,Direct,,Tue
Thiruvananthapuram (TRV),Hyderabad (HYD),SW 0335,20:35,22:15,Direct,,Tue
Bengaluru (BLR),Chennai (MAA),SW 0478,21:00,22:05,Direct,,Tue Thu Fri Sat Sun
Goa (GOI),Delhi (DEL),SW 2326,21:00,23:30,Direct,,Tue Thu Sat
Bengaluru (BLR),Thiruvananthapuram (TRV),SW 6626,21:05,22:30,Direct,,Daily
Jeddah (JED),Mumbai (BOM),SW 0062,21:30,04:55,Direct,,Tue
Bhubaneshwar (BBI),Singapore (SIN),SW 1017,21:30,04:10,Direct,,Tue Sat
Hyderabad (HYD),Chennai (MAA),SW 6617,21:30,22:45,Direct,,Tue Thu Sat
Jeddah (JED),Hyderabad (HYD),SW 0068,22:30,06:10,Direct,,Tue
Thiruvananthapuram (TRV),Bengaluru (BLR),SW 6627,23:00,00:15,Direct,,Daily
Chennai (MAA),Bengaluru (BLR),SW 0796,23:10,00:15,Direct,,Tue Thu
Mumbai (BOM),Jeddah (JED),SW 0091,00:15,03:25,Direct,,Wed
Bengaluru (BLR),Delhi (DEL),SW 2228,01:00,03:50,Direct,,Wed
Jeddah (JED),Mumbai (BOM),SW 0092,04:25,12:10,Direct,,Wed
Kolkata (CCU),Dhaka (DAC),SW 1107,06:30,08:00,Direct,,Mon Wed Fri Sun
Ahmedabad (AMD),Lucknow (LKO),SW 6244,07:20,08:55,Direct,,Wed
Delhi (DEL),Lucknow (LKO),SW 2107,08:20,09:20,Direct,,Wed
Udaipur (UDR),Jaipur (JAI),SW 7718,08:20,09:25,Direct,,Wed Sat
Udaipur (UDR),Chandigarh (IXC),SW 7718,08:20,11:20,Via,JAI,Every Wed Sat
Pune (PNQ),Delhi (DEL),SW 2661,08:40,11:00,Direct,,Wed
Rajahmundry (RJA),Hyderabad (HYD),SW 7119,08:50,10:00,Direct,,Wed
Rajahmundry (RJA),Mangalore (IXE),SW 7119,08:50,12:35,Via,HYD,Every Wed
Dhaka (DAC),Kolkata (CCU),SW 1108,09:00,09:35,Direct,,Mon Wed Fri Sun
Surat (STV),Dubai (DXB),SW 1507,09:10,11:00,Direct,,Wed Thu Sat
Lucknow (LKO),Delhi (DEL),SW 2055,09:25,10:45,Direct,,Wed
Hyderabad (HYD),Jaipur (JAI),SW 6338,09:25,11:25,Direct,,Wed
Jaipur (JAI),Chandigarh (IXC),SW 7718,09:45,11:20,Direct,,Wed Sat
Ahmedabad (AMD),Hyderabad (HYD),SW 0643,10:30,12:00,Direct,,Wed
Ahmedabad (AMD),Bengaluru (BLR),SW 6393,10:40,13:00,Direct,,Wed
Hyderabad (HYD),Mangalore (IXE),SW 7119,10:45,12:35,Direct,,Wed
Kolkata (CCU),Hyderabad (HYD),SW 0334,11:00,13:35,Direct,,Wed
Ahmedabad (AMD),Chandigarh (IXC),SW 6375,11:10,12:45,Direct,,Wed
Ayodhya (AYJ),Hyderabad (HYD),SW 0932,11:15,13:25,Direct,,Wed
Ahmedabad (AMD),Srinagar (SXR),SW 6265,11:40,14:00,Direct,,Wed
Ahmedabad (AMD),Delhi (DEL),SW 2152,11:45,13:30,Direct,,Wed
Ahmedabad (AMD),Durgapur (RDP),SW 2152,11:45,16:15,Via,DEL,Every Wed
Delhi (DEL),Vadodara (BDQ),SW 2286,11:45,13:25,Direct,,Wed
Jaipur (JAI),Hyderabad (HYD),SW 0383,11:55,13:40,Direct,,Wed
Chennai (MAA),Vadodara (BDQ),SW 6374,12:00,14:20,Direct,,Wed
Delhi (DEL),Chandigarh (IXC),SW 2609,12:00,12:55,Direct,,Wed
Delhi (DEL),Srinagar (SXR),SW 2609,12:00,14:45,Via,IXC,Every Wed
Delhi (DEL),Delhi (DEL),SW 2609,12:00,17:05,Via,IXC/SXR,Every Wed
Bengaluru (BLR),Bhubaneshwar (BBI),SW 6535,12:10,14:05,Direct,,Wed
Mumbai (BOM),Kochi (COK),SW 0268,12:15,14:10,Direct,,Wed
Delhi (DEL),Srinagar (SXR),SW 2044,12:40,14:15,Direct,,Wed
Delhi (DEL),Chandigarh (IXC),SW 2044,12:40,16:05,Via,SXR,Every Wed
Delhi (DEL),Delhi (DEL),SW 2044,12:40,17:50,Via,SXR/IXC,Every Wed
Mangalore (IXE),Hyderabad (HYD),SW 7058,12:55,14:50,Direct,,Wed
Dubai (DXB),Surat (STV),SW 1508,13:10,17:25,Direct,,Wed Thu Sat
Chandigarh (IXC),Ahmedabad (AMD),SW 0112,13:15,15:10,Direct,,Wed
Mumbai (BOM),Srinagar (SXR),SW 0559,13:25,16:05,Direct,,Wed
Lucknow (LKO),Patna (PAT),SW 6902,13:25,14:30,Direct,,Wed
Chandigarh (IXC),Srinagar (SXR),SW 2609,13:40,14:45,Direct,,Wed
Chandigarh (IXC),Delhi (DEL),SW 2609,13:40,17:05,Via,SXR,Every Wed
Vadodara (BDQ),Delhi (DEL),SW 2287,13:55,15:50,Direct,,Wed
Bengaluru (BLR),Varanasi (VNS),SW 6805,14:10,16:30,Direct,,Wed
Delhi (DEL),Durgapur (RDP),SW 2152,14:20,16:15,Direct,,Wed
Hyderabad (HYD),Raipur (RPR),SW 0261,14:30,15:45,Direct,,Wed
Srinagar (SXR),Chandigarh (IXC),SW 2044,14:55,16:05,Direct,,Wed
Srinagar (SXR),Delhi (DEL),SW 2044,14:55,17:50,Via,IXC,Every Wed
Hyderabad (HYD),Jodhpur (JDH),SW 0297,15:00,17:00,Direct,,Wed
Vadodara (BDQ),Chennai (MAA),SW 6539,15:05,17:15,Direct,,Wed
Patna (PAT),Lucknow (LKO),SW 0925,15:05,16:15,Direct,,Wed
Srinagar (SXR),Ahmedabad (AMD),SW 6266,15:10,17:30,Direct,,Wed
Srinagar (SXR),Delhi (DEL),SW 2609,15:25,17:05,Direct,,Wed
Ayodhya (AYJ),Ahmedabad (AMD),SW 6109,15:35,17:45,Direct,,Wed
Chandigarh (IXC),Jaipur (JAI),SW 7517,15:35,17:00,Direct,,Wed Sat
Chandigarh (IXC),Udaipur (UDR),SW 7517,15:35,18:35,Via,JAI,Every Wed Sat
Hyderabad (HYD),Lucknow (LKO),SW 0935,15:45,17:45,Direct,,Wed
Ahmedabad (AMD),Kochi (COK),SW 6391,16:05,18:25,Direct,,Wed
Kochi (COK),Mumbai (BOM),SW 0269,16:35,18:40,Direct,,Wed
Srinagar (SXR),Mumbai (BOM),SW 0431,16:45,19:50,Direct,,Wed
Chandigarh (IXC),Delhi (DEL),SW 2044,16:50,17:50,Direct,,Wed
Jaipur (JAI),Udaipur (UDR),SW 7517,17:30,18:35,Direct,,Wed Sat
Delhi (DEL),Bhopal (BHO),SW 5050,18:10,19:30,Direct,,Wed
Ahmedabad (AMD),Goa (GOI),SW 0992,18:35,20:10,Direct,,Wed
Hyderabad (HYD),Ranchi (IXR),SW 0186,18:50,20:30,Direct,,Wed
Kochi (COK),Ahmedabad (AMD),SW 6392,18:55,21:25,Direct,,Wed
Surat (STV),Hyderabad (HYD),SW 0929,19:30,21:00,Direct,,Wed Thu Sat
Bhopal (BHO),Delhi (DEL),SW 2527,20:15,21:35,Direct,,Wed
Hyderabad (HYD),Pune (PNQ),SW 0426,20:50,22:00,Direct,,Wed Thu
Goa (GOI),Ahmedabad (AMD),SW 0281,21:05,22:50,Direct,,Wed
Ranchi (IXR),Hyderabad (HYD),SW 0191,21:10,23:05,Direct,,Wed
Delhi (DEL),Patna (PAT),SW 5186,22:00,23:40,Direct,,Daily
Ahmedabad (AMD),Hyderabad (HYD),SW 6728,22:10,23:40,Direct,,Wed
Pune (PNQ),Hyderabad (HYD),SW 0103,22:40,00:00,Direct,,Wed Thu
Patna (PAT),Delhi (DEL),SW 5189,00:15,02:05,Direct,,Daily
Mumbai (BOM),Jeddah (JED),SW 0091,00:15,03:40,Direct,,Thu
Delhi (DEL),Hyderabad (HYD),SW 2351,01:00,03:15,Direct,,Thu
Jeddah (JED),Mumbai (BOM),SW 0092,04:40,12:10,Direct,,Thu
Kolkata (CCU),Chennai (MAA),SW 0344,05:15,07:30,Direct,,Thu
Hyderabad (HYD),Kolkata (CCU),SW 6494,06:05,08:05,Direct,,Daily
Bengaluru (BLR),Phuket (HKT),SW 1077,06:15,11:40,Direct,,Thu
Bhubaneshwar (BBI),Chennai (MAA),SW 0141,08:25,10:20,Direct,,Thu
Kolkata (CCU),Hyderabad (HYD),SW 6513,08:50,11:15,Direct,,Daily
Chennai (MAA),Visakhapatnam (VTZ),SW 0581,10:15,11:45,Direct,,Thu
Hyderabad (HYD),Kolkata (CCU),SW 0376,11:55,14:00,Direct,,Daily
Chennai (MAA),Dhaka (DAC),SW 1113,13:20,16:25,Direct,,Thu Fri
Bengaluru (BLR),Jeddah (JED),SW 0077,14:45,18:25,Direct,,Tue Thu
Kolkata (CCU),Hyderabad (HYD),SW 6908,15:00,17:15,Direct,,Daily
Varanasi (VNS),Lucknow (LKO),SW 7739,16:05,16:45,Direct,,Tue Thu Sat
Hyderabad (HYD),Thiruvananthapuram (TRV),SW 0161,17:10,18:55,Direct,,Thu
Dhaka (DAC),Chennai (MAA),SW 1114,17:25,19:45,Direct,,Thu Fri
Hyderabad (HYD),Kolkata (CCU),SW 0283,18:00,20:00,Direct,,Thu Sat Sun
Thiruvananthapuram (TRV),Hyderabad (HYD),SW 0335,19:25,21:10,Direct,,Thu
Delhi (DEL),Kolkata (CCU),SW 6517,19:30,21:35,Direct,,Thu
Kolkata (CCU),Hyderabad (HYD),SW 6154,20:45,23:00,Direct,,Thu Sat Sun
Delhi (DEL),Indore (IDR),SW 2208,21:05,22:35,Direct,,Thu
Bengaluru (BLR),Delhi (DEL),SW 2307,21:50,00:45,Direct,,Thu
Kolkata (CCU),Delhi (DEL),SW 2415,22:15,01:00,Direct,,Thu
Bengaluru (BLR),Delhi (DEL),SW 6813,23:00,01:55,Direct,,Thu
Indore (IDR),Delhi (DEL),SW 2019,23:10,00:40,Direct,,Thu
Mumbai (BOM),Ahmedabad (AMD),SW 5085,02:45,03:55,Direct,,Daily
Bengaluru (BLR),Mumbai (BOM),SW 5323,03:00,05:00,Direct,,Daily
Ahmedabad (AMD),Mumbai (BOM),SW 5182,04:35,05:55,Direct,,Daily
Chennai (MAA),Thiruvananthapuram (TRV),SW 6001,04:50,06:15,Direct,,Daily
Delhi (DEL),Madurai (IXM),SW 2059,05:25,08:30,Direct,,Fri Sat
Jeddah (JED),Mumbai (BOM),SW 0092,06:00,13:25,Direct,,Fri
Mumbai (BOM),Bengaluru (BLR),SW 5352,06:05,07:45,Direct,,Daily
Mumbai (BOM),Nagpur (NAG),SW 5124,06:25,07:55,Direct,,Daily
Mumbai (BOM),Udaipur (UDR),SW 5038,06:45,08:05,Direct,,Daily
Thiruvananthapuram (TRV),Chennai (MAA),SW 0343,07:00,08:15,Direct,,Daily
Nagpur (NAG),Mumbai (BOM),SW 0174,08:25,09:50,Direct,,Daily
Udaipur (UDR),Mumbai (BOM),SW 5185,08:35,09:55,Direct,,Daily
Chennai (MAA),Guwahati (GAU),SW 6309,08:55,11:35,Direct,,Daily
Chennai (MAA),Agartala (IXA),SW 6309,08:55,13:50,Via,GAU,Daily
Bengaluru (BLR),Kochi (COK),SW 0113,09:00,10:10,Direct,,Tue Wed Thu Fri
Madurai (IXM),Delhi (DEL),SW 2088,09:15,12:30,Direct,,Fri Sat
Hyderabad (HYD),Kolhapur (KLH),SW 7563,10:05,11:40,Direct,,Fri
Mumbai (BOM),Kochi (COK),SW 6701,10:40,12:40,Direct,,Daily
Mumbai (BOM),Indore (IDR),SW 5181,10:40,12:00,Direct,,Daily
Kochi (COK),Bengaluru (BLR),SW 0897,10:40,11:50,Direct,,Tue Wed Thu Fri
Kochi (COK),Varanasi (VNS),SW 0897,10:40,14:55,Via,BLR,Every Tue Wed Thu Fri
Kolhapur (KLH),Hyderabad (HYD),SW 7564,12:00,13:15,Direct,,Fri
Indore (IDR),Hyderabad (HYD),SW 0511,12:30,13:50,Direct,,Daily
Bengaluru (BLR),Varanasi (VNS),SW 0897,12:30,14:55,Direct,,Tue Wed Thu Fri
Hyderabad (HYD),Madurai (IXM),SW 6781,12:50,14:25,Direct,,Fri
Guwahati (GAU),Agartala (IXA),SW 6309,12:55,13:50,Direct,,Daily
Delhi (DEL),Udaipur (UDR),SW 2101,13:10,14:30,Direct,,Fri Sat
Kochi (COK),Mumbai (BOM),SW 5102,13:30,15:35,Direct,,Daily
Hyderabad (HYD),Indore (IDR),SW 6915,14:30,16:00,Direct,,Daily
Agartala (IXA),Guwahati (GAU),SW 0119,14:40,15:30,Direct,,Daily
Agartala (IXA),Chennai (MAA),SW 0119,14:40,19:45,Via,GAU,Daily
Madurai (IXM),Hyderabad (HYD),SW 6782,14:55,16:30,Direct,,Fri
Udaipur (UDR),Delhi (DEL),SW 2102,15:05,16:25,Direct,,Fri Sat
Varanasi (VNS),Bengaluru (BLR),SW 0144,15:30,17:55,Direct,,Tue Wed Thu Fri
Varanasi (VNS),Kochi (COK),SW 0144,15:30,19:45,Via,BLR,Every Tue Wed Thu Fri
Indore (IDR),Mumbai (BOM),SW 2389,16:30,17:50,Direct,,Daily
Guwahati (GAU),Chennai (MAA),SW 0119,16:35,19:45,Direct,,Daily
Mumbai (BOM),Nagpur (NAG),SW 5035,16:40,18:10,Direct,,Daily
Hyderabad (HYD),Visakhapatnam (VTZ),SW 0208,17:10,18:20,Direct,,Fri
Delhi (DEL),Amritsar (ATQ),SW 2341,17:30,18:40,Direct,,Fri Sat
Delhi (DEL),Bengaluru (BLR),SW 6622,18:15,21:10,Direct,,Fri
Mumbai (BOM),Raipur (RPR),SW 2371,18:35,20:20,Direct,,Daily
Nagpur (NAG),Mumbai (BOM),SW 5036,18:40,20:15,Direct,,Daily
Bengaluru (BLR),Kochi (COK),SW 0144,18:40,19:45,Direct,,Tue Wed Thu Fri
Visakhapatnam (VTZ),Hyderabad (HYD),SW 0216,19:00,20:15,Direct,,Fri
Amritsar (ATQ),Delhi (DEL),SW 2342,19:10,20:25,Direct,,Fri Sat
Hyderabad (HYD),Lucknow (LKO),SW 6167,19:20,21:10,Direct,,Fri
Bengaluru (BLR),Varanasi (VNS),SW 0185,19:55,22:15,Direct,,Fri
Kochi (COK),Bengaluru (BLR),SW 6922,20:20,21:25,Direct,,Tue Wed Thu Fri
Chennai (MAA),Bengaluru (BLR),SW 6145,20:45,21:45,Direct,,Daily
Mumbai (BOM),Goa (GOI),SW 5137,20:55,22:05,Direct,,Daily
Raipur (RPR),Mumbai (BOM),SW 5049,21:00,23:00,Direct,,Daily
